partner_code,iso_3,name,region
0,0,World,Mundo
10,ATA,Antarctica,SE
100,BGR,Bulgaria,Europa
104,MMR,Myanmar,Asia
108,BDI,Burundi,África
112,BLR,Belarus,Europa
116,KHM,Cambodia,Asia
12,DZA,Algeria,África
120,CMR,Cameroon,África
124,CAN,Canada,América del Norte
132,CPV,Cabo Verde,África
136,CYM,Cayman Islands,América del Sur
140,CAF,Central African Republic,África
144,LKA,Sri Lanka,Asia
148,TCD,Chad,África
152,CHL,Chile,América del Sur
156,CHN,China,Asia
16,ASM,American Samoa,Oceanía
162,CXR,Christmas Island,Oceanía
166,CCK,Cocos (Keeling) Islands,Oceanía
170,COL,Colombia,América del Sur
174,COM,Comoros,África
175,MYT,Mayotte,África
178,COG,Congo,África
180,COD,Democratic Republic of the Congo,África
184,COK,Cook Islands,Oceanía
188,CRI,Costa Rica,América del Sur
191,HRV,Croatia,Europa
192,CUB,Cuba,América del Sur
196,CYP,Cyprus,Asia
20,AND,Andorra,Europa
203,CZE,Czechia,Europa
204,BEN,Benin,África
208,DNK,Denmark,Europa
212,DMA,Dominica,América del Sur
214,DOM,Dominican Republic,América del Sur
218,ECU,Ecuador,América del Sur
222,SLV,El Salvador,América del Sur
226,GNQ,Equatorial Guinea,África
231,ETH,Ethiopia,África
232,ERI,Eritrea,África
233,EST,Estonia,Europa
234,FRO,Faroe Islands,Europa
238,FLK,Falkland Islands (Malvinas),América del Sur
239,SGS,South Georgia and the South Sandwich Islands,América del Sur
24,AGO,Angola,África
242,FJI,Fiji,Oceanía
246,FIN,Finland,Europa
248,ALA,Ãƒâ€¦land Islands,Europa
251,FRA,France,Europa
254,GUF,French Guiana,América del Sur
258,PYF,French Polynesia,Oceanía
260,ATF,French Southern Territories,África
262,DJI,Djibouti,África
266,GAB,Gabon,África
268,GEO,Georgia,Asia
270,GMB,Gambia,África
275,PSE,State of Palestine,Asia
276,DEU,Germany,Europa
28,ATG,Antigua and Barbuda,América del Sur
288,GHA,Ghana,África
292,GIB,Gibraltar,Europa
296,KIR,Kiribati,Oceanía
300,GRC,Greece,Europa
304,GRL,Greenland,América del Sur
308,GRD,Grenada,América del Sur
31,AZE,Azerbaijan,Asia
312,GLP,Guadeloupe,América del Sur
316,GUM,Guam,Oceanía
32,ARG,Argentina,América del Sur
320,GTM,Guatemala,América del Sur
324,GIN,Guinea,África
328,GUY,Guyana,América del Sur
332,HTI,Haiti,América del Sur
334,HMD,Heard Island and McDonald Islands,Oceanía
336,VAT,Holy See,Europa
340,HND,Honduras,América del Sur
344,HKG,Hong Kong,Asia
348,HUN,Hungary,Europa
352,ISL,Iceland,Europa
36,AUS,Australia,Oceanía
360,IDN,Indonesia,Asia
364,IRN,Iran (Islamic Republic of),Asia
368,IRQ,Iraq,Asia
372,IRL,Ireland,Europa
376,ISR,Israel,Asia
380,ITA,Italy,Europa
384,CIV,CÃƒÂ´te dÃ¢â‚¬â„¢Ivoire,África
388,JAM,Jamaica,América del Sur
392,JPN,Japan,Asia
398,KAZ,Kazakhstan,Asia
4,AFG,Afghanistan,Asia
40,AUT,Austria,Europa
400,JOR,Jordan,Asia
404,KEN,Kenya,África
408,PRK,Democratic People's Republic of Korea,Asia
410,KOR,South Korea,Asia
414,KWT,Kuwait,Asia
417,KGZ,Kyrgyzstan,Asia
418,LAO,Lao People's Democratic Republic,Asia
422,LBN,Lebanon,Asia
426,LSO,Lesotho,África
428,LVA,Latvia,Europa
430,LBR,Liberia,África
434,LBY,Libya,África
438,LIE,Liechtenstein,Europa
44,BHS,Bahamas,América del Sur
440,LTU,Lithuania,Europa
442,LUX,Luxembourg,Europa
446,MAC,"China, Macao",Asia
450,MDG,Madagascar,África
454,MWI,Malawi,África
458,MYS,Malaysia,Asia
