sa2,sa2_description
01,"Animales vivos"
02,"Carne y carne comestible despojos"
03,"Animales acuáticos"
04,"Subproductos animales comestibles"
05,"Otros productos animales"
06,"Árboles vivos, plantas, bulbos, raíces y flores cortadas"
07,"Verduras y ciertas raíces y tubérculos; comestible"
08,"Frutas y nueces, comestibles; Pelea de cítricos o melones"
09,"Café, té, compañero y especias"
10,Cereales
11,"Productos de la industria de la molienda; malta, almidón, inulina, gluten de trigo"
12,"Semillas de aceite y frutas oleaginales; Granos varios, semillas y frutas, plantas industriales o medicinales; paja y forraje"
13,"Laca; encías, resinas y otros saps y extractos de verduras"
14,"Materiales de trenzas de verduras; Productos vegetales no especificados en otros lugares o incluidos"
15,"Grasas animales o vegetales, aceites y ceras"
16,"Carne, pescado o crustáceos, moluscos u otros invertebrados acuáticos; preparativos de los mismos"
17,"Azúcares y confitería de azúcar"
18,"Preparaciones de cacao y cacao"
19,"Preparaciones de cereales, harina, almidón o leche; Productos de PastryCooks"
20,"Preparaciones de verduras, frutas, nueces u otras partes de plantas"
21,"Preparaciones comestibles misceláneas"
22,"Bebidas, espíritus y vinagre"
23,"Industrias alimentarias, residuos y desechos de los mismos; forraje de animales preparado"
24,"Sustitutos de tabaco y tabaco fabricados"
25,"Sal; azufre; Tierras, piedra; Materiales de enlucido, lima y cemento"
26,"Minerales, escoria y cenizas"
27,"Combustibles minerales, aceites minerales y productos de su destilación; sustancias bituminales; ceras minerales"
28,"Químicos inorgánicos; compuestos orgánicos e inorgánicos de metales preciosos; de metales de tierras raras, de elementos radioactivos y de isótopos"
29,"Químicos orgánicos"
30,"Productos farmaceuticos"
31,Fertilizantes
32,"Extractos de bronceado o teñido; taninos y sus derivados; tintes, pigmentos y otra materia colorante; pinturas, barnices; masilla, otros másticos; tintas"
33,"Aceites y resinoides esenciales; preparaciones de perfumería, cosmética o inodoro"
34,"Jabón, agentes orgánicos de la superficie activa, otros"
35,"Sustancias albuminoidales; almidones modificados; colas; enzimas"
36,"Explosivos; Productos pirotécnicos; partidos; aleaciones pirofóricas; ciertas preparaciones combustibles"
37,"Productos fotográficos o cinematográficos"
38,"Productos químicos N.E.S."
39,"Plásticos y artículos de los mismos"
40,"Artículos de goma y goma"
41,"Cuero crudo de diferentes animales"
42,"Artículos de cuero; Saddlery y arnés; artículos de viaje, bolsos y contenedores similares; Artículos de intestino animal (que no sea el intestino del gusano de la seda)"
43,"Pieles de piel y pelaje artificial; fabricantes de los mismos"
44,"Madera y artículos de madera; carbón de madera"
45,"Corcho y artículos de corcho"
46,"Fabricantes de paja, esparto u otros materiales de trenzas; Barkarware y mimbre"
47,"Pulpa de madera u otro material celulósico fibroso"
48,"Artículos de papel"
49,"Libros impresos, periódicos, imágenes y otros productos de la industria de la impresión; manuscritos, mecanografrits y planes"
50,Seda
51,"Lana, cabello de animal fino o grueso"
52,Algodón
53,"Fibras textiles vegetales; hilo de papel y telas tejidas de hilo de papel"
54,"Filamentos hechos por el hombre"
55,"Fibras básicas hechas por el hombre"
56,"Wadding, Feel y Nonwovens, hilos especiales; Twine, cordaje, cuerdas y cables y artículos de los mismos"
57,"Alfombras y otros revestimientos de piso textil"
58,"Telas; Tabras tejidas especiales, telas textiles con mechones, encajes, tapices, adornos, bordados"
59,"Telas textiles; impregnado, recubierto, cubierto o laminado; Artículos textiles de un tipo adecuado para uso industrial"
60,"Telas; tejido o tejido"
61,"Accesorios de ropa y ropa; tejido o tejido"
62,"Accesorios de ropa y ropa; no tejido ni tejido"
63,"Trapos textiles"
64,Calzado
65,"Tocado y partes del mismo"
66,Paraguas
67,"Plumas y abajo, preparadas; y artículos hechos de plumas o de abajo; Flores artificiales; artículos de cabello humano"
68,"Piedra, yeso, cemento, asbesto, mica o materiales similares; artículos de la misma"
69,"Productos de cerámica"
70,"Vidrio y cristalería"
71,"Metales preciosos, gemas y joyas"
72,"Hierro y acero"
73,"Artículos de hierro o acero"
74,"Cobre y artículos de los mismos"
75,"Níquel y artículos de los mismos"
76,"Aluminio y artículos de los mismos"
78,"Plomo y artículos de los mismos"
79,"Zinc y artículos de los mismos"
80,"Estaño; artículos de la misma"
81,"Rieles; N.E.S., Cermets y artículos de los mismos"
82,"Herramientas, implementos, cubiertos, cucharas y tenedores, de metal base; partes de los mismos, de metal base"
83,"Metal; Productos varios de metal base"
84,"Reactores nucleares, calderas, maquinaria y electrodomésticos mecánicos; partes de la misma"
85,"Maquinaria eléctrica y equipo y piezas de la misma; grabadoras y reproductores de sonido; Imagen de televisión y grabadoras y reproductores de sonido, piezas y accesorios de tales artículos"
86,"Ferrocarril, locomotoras de tranvía, rollito y piezas de los mismos; accesorios y accesorios de vías de ferrocarril o tranvía y piezas de los mismos; Equipo de señalización de tráfico mecánico (incluido electromecánico) de todo tipo"
87,Vehículo
88,"Avión, nave espacial y sus partes."
89,"Barcos, barcos y estructuras flotantes"
90,"partes y accesorios de elementos ópticos, fotográficos, cinematográficos, de medición, corriente, médicos o quirúrgicos."
91,"Relojes y relojes y piezas de los mismos"
92,"Instrumentos musicales; piezas y accesorios de tales artículos"
93,"Brazos y municiones; Piezas y accesorios de los mismos"
94,Muebles
95,Juguetes
96,"Artículos fabricados varios"
97,"Obras de arte; Piezas y antigüedades para coleccionistas"
