year,section,SA_4,imp_exp,partner_code,tradevalue
2015,1,0101,1,0,67385600
2015,1,0101,1,276,10791900
2015,1,0101,1,842,55434600
2015,1,0101,2,0,8072120
2015,1,0101,2,842,8072120
2015,1,0102,1,0,34244300
2015,1,0102,1,842,34244300
2015,1,0102,2,0,871411000
2015,1,0102,2,842,871384000
2015,1,0103,1,0,9184430
2015,1,0103,1,842,9184430
2015,1,0105,1,0,25834300
2015,1,0105,1,251,1857300
2015,1,0105,1,724,1324420
2015,1,0105,1,842,22652600
2015,1,0106,1,0,6204840
2015,1,0106,1,188,126103
2015,1,0106,1,724,109817
2015,1,0106,1,842,5811010
2015,1,0106,2,0,775154
2015,1,0106,2,124,10787
2015,1,0106,2,170,6006
2015,1,0106,2,222,450
2015,1,0106,2,251,1620
2015,1,0106,2,32,7636
2015,1,0106,2,320,95939
2015,1,0106,2,344,131847
2015,1,0106,2,392,9365
2015,1,0106,2,68,651
2015,1,0106,2,76,5240
2015,1,0106,2,784,1100
2015,1,0106,2,826,10173
2015,1,0106,2,842,474938
2015,1,0106,2,862,1025
2015,1,0201,1,0,799017000
2015,1,0201,1,124,105138000
2015,1,0201,1,842,693555000
2015,1,0201,2,0,967209000
2015,1,0201,2,392,22727000
2015,1,0201,2,842,944482000
2015,1,0202,1,0,40676300
2015,1,0202,1,124,4415320
2015,1,0202,1,36,3681390
2015,1,0202,1,554,2849570
2015,1,0202,1,842,29730100
2015,1,0202,2,0,111908000
2015,1,0202,2,344,15026900
2015,1,0202,2,392,36763700
2015,1,0202,2,842,59964400
2015,1,0203,1,0,1231190000
2015,1,0203,1,124,177483000
2015,1,0203,1,842,1050260000
2015,1,0203,2,0,391699000
2015,1,0203,2,392,325834000
2015,1,0203,2,410,32107300
2015,1,0203,2,842,33757700
2015,1,0204,1,0,44653800
2015,1,0204,1,36,21263900
2015,1,0204,1,554,18325000
2015,1,0204,1,842,5064940
2015,1,0205,2,0,4150120
2015,1,0205,2,56,1195870
2015,1,0205,2,704,2954260
2015,1,0206,1,0,414644000
2015,1,0206,1,124,57930800
2015,1,0206,1,152,6262290
2015,1,0206,1,36,8813110
2015,1,0206,1,842,339094000
2015,1,0206,2,0,49266200
2015,1,0206,2,344,1156630
2015,1,0206,2,392,9005070
2015,1,0206,2,410,617384
2015,1,0206,2,704,2787670
2015,1,0206,2,842,35699500
2015,1,0207,1,0,1044690000
2015,1,0207,1,152,109094000
2015,1,0207,1,842,935594000
2015,1,0207,2,0,1045350
2015,1,0207,2,344,954055
2015,1,0207,2,842,91298
2015,1,0208,1,0,247893
2015,1,0208,1,156,247893
2015,1,0209,1,0,45128400
2015,1,0209,1,124,21759100
2015,1,0209,1,842,23369300
2015,1,0210,1,0,80552800
2015,1,0210,1,124,5111910
2015,1,0210,1,842,74722800
2015,1,0210,2,0,470709
2015,1,0210,2,842,470709
2015,1,0301,1,0,3060490
2015,1,0301,1,842,3047380
2015,1,0301,2,0,212142
2015,1,0301,2,842,212142
2015,1,0302,1,0,3345880
2015,1,0302,1,152,3013160
2015,1,0302,1,84,332725
2015,1,0302,2,0,165242000
2015,1,0302,2,124,3974030
2015,1,0302,2,392,72974100
2015,1,0302,2,842,87476300
2015,1,0303,1,0,62139000
2015,1,0303,1,124,2269460
2015,1,0303,1,156,18380100
2015,1,0303,1,410,1041460
2015,1,0303,1,490,2139840
2015,1,0303,1,558,1753540
2015,1,0303,1,704,1743300
